,TRANSACTION_ID,TX_DATETIME,TX_DATE,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2020-04-01 00:32:35,2020-04-01,183,47,39.3,1955,0,0,0
1,1,2020-04-01 01:11:00,2020-04-01,8,46,2.08,4260,0,0,0
2,2,2020-04-01 01:38:25,2020-04-01,230,33,18.93,5905,0,0,0
3,3,2020-04-01 01:56:44,2020-04-01,55,81,35.06,7004,0,0,0
4,4,2020-04-01 01:59:15,2020-04-01,159,2,54.22,7155,0,0,0
5,5,2020-04-01 02:17:26,2020-04-01,220,17,110.42,8246,0,0,0
6,6,2020-04-01 02:43:34,2020-04-01,59,102,40.21,9814,0,0,0
7,7,2020-04-01 02:47:11,2020-04-01,128,39,96.68,10031,0,0,0
8,8,2020-04-01 03:00:01,2020-04-01,53,88,2.32,10801,0,0,0
9,9,2020-04-01 03:21:54,2020-04-01,249,94,35.61,12114,0,0,0
10,10,2020-04-01 03:22:53,2020-04-01,81,80,83.99,12173,0,0,0
11,11,2020-04-01 03:41:00,2020-04-01,67,83,125.0,13260,0,0,0
12,12,2020-04-01 03:42:06,2020-04-01,98,92,1.71,13326,0,0,0
13,13,2020-04-01 03:44:19,2020-04-01,111,3,63.71,13459,0,0,0
14,14,2020-04-01 03:56:21,2020-04-01,200,7,85.63,14181,0,0,0
15,15,2020-04-01 03:59:19,2020-04-01,161,37,76.2,14359,0,0,0
16,16,2020-04-01 04:00:12,2020-04-01,38,93,11.13,14412,0,0,0
17,17,2020-04-01 04:06:08,2020-04-01,35,51,65.09,14768,0,0,0
18,18,2020-04-01 04:11:30,2020-04-01,247,77,10.8,15090,0,0,0
19,19,2020-04-01 04:19:34,2020-04-01,183,47,64.92,15574,0,0,0
20,20,2020-04-01 04:26:13,2020-04-01,148,33,42.91,15973,0,0,0
21,21,2020-04-01 04:31:00,2020-04-01,28,17,84.23,16260,0,0,0
22,22,2020-04-01 04:49:26,2020-04-01,67,83,72.81,17366,0,0,0
23,23,2020-04-01 04:51:07,2020-04-01,212,102,58.71,17467,0,0,0
24,24,2020-04-01 04:54:55,2020-04-01,140,28,116.7,17695,0,0,0
25,25,2020-04-01 05:04:21,2020-04-01,25,17,11.32,18261,0,0,0
26,26,2020-04-01 05:05:03,2020-04-01,22,65,19.85,18303,0,0,0
27,27,2020-04-01 05:22:02,2020-04-01,81,80,107.43,19322,0,0,0
28,28,2020-04-01 05:24:27,2020-04-01,98,92,1.0,19467,0,0,0
29,29,2020-04-01 05:27:57,2020-04-01,213,7,183.17,19677,0,0,0
30,30,2020-04-01 05:29:59,2020-04-01,144,14,71.77,19799,0,0,0
31,31,2020-04-01 05:31:21,2020-04-01,122,100,52.13,19881,0,0,0
32,32,2020-04-01 05:35:26,2020-04-01,155,11,63.52,20126,0,0,0
33,33,2020-04-01 05:36:35,2020-04-01,64,128,202.06,20195,0,0,0
34,34,2020-04-01 05:38:09,2020-04-01,81,80,74.98,20289,0,0,0
35,35,2020-04-01 05:39:13,2020-04-01,134,29,48.95,20353,0,0,0
36,36,2020-04-01 05:39:28,2020-04-01,188,16,53.29,20368,0,0,0
37,37,2020-04-01 05:42:54,2020-04-01,183,47,71.08,20574,0,0,0
38,38,2020-04-01 05:51:21,2020-04-01,1,5,8.04,21081,0,0,0
39,39,2020-04-01 05:52:07,2020-04-01,134,29,69.6,21127,0,0,0
40,40,2020-04-01 05:59:48,2020-04-01,83,25,81.39,21588,0,0,0
41,41,2020-04-01 06:09:35,2020-04-01,134,29,61.88,22175,0,0,0
42,42,2020-04-01 06:12:17,2020-04-01,213,25,77.05,22337,0,0,0
43,43,2020-04-01 06:15:10,2020-04-01,80,24,13.67,22510,0,0,0
44,44,2020-04-01 06:30:33,2020-04-01,149,102,63.51,23433,0,0,0
45,45,2020-04-01 06:30:52,2020-04-01,226,97,25.85,23452,0,0,0
46,46,2020-04-01 06:31:49,2020-04-01,83,25,37.92,23509,0,0,0
47,47,2020-04-01 06:35:11,2020-04-01,67,83,69.62,23711,0,0,0
48,48,2020-04-01 06:37:44,2020-04-01,159,2,75.4,23864,0,0,0
49,49,2020-04-01 06:45:10,2020-04-01,68,126,29.71,24310,0,0,0
50,50,2020-04-01 06:52:14,2020-04-01,202,69,43.6,24734,0,0,0
51,51,2020-04-01 06:54:28,2020-04-01,37,54,39.03,24868,0,0,0
52,52,2020-04-01 06:55:13,2020-04-01,161,37,93.85,24913,0,0,0
53,53,2020-04-01 06:57:01,2020-04-01,188,16,29.95,25021,0,0,0
54,54,2020-04-01 07:00:55,2020-04-01,160,114,125.62,25255,0,0,0
55,55,2020-04-01 07:02:43,2020-04-01,53,88,5.67,25363,0,0,0
56,56,2020-04-01 07:12:52,2020-04-01,37,54,28.51,25972,0,0,0
57,57,2020-04-01 07:19:05,2020-04-01,0,87,123.59,26345,0,0,0
58,58,2020-04-01 07:22:06,2020-04-01,65,95,4.78,26526,0,0,0
59,59,2020-04-01 07:24:08,2020-04-01,188,16,10.31,26648,0,0,0
60,60,2020-04-01 07:26:22,2020-04-01,154,128,14.88,26782,0,0,0
61,61,2020-04-01 07:28:08,2020-04-01,32,17,69.86,26888,0,0,0
62,62,2020-04-01 07:30:04,2020-04-01,58,74,24.62,27004,0,0,0
63,63,2020-04-01 07:32:36,2020-04-01,1,5,36.12,27156,0,0,0
64,64,2020-04-01 07:32:39,2020-04-01,35,51,63.17,27159,0,0,0
65,65,2020-04-01 07:34:16,2020-04-01,249,94,14.64,27256,0,0,0
66,66,2020-04-01 07:35:14,2020-04-01,26,129,80.31,27314,0,0,0
67,67,2020-04-01 07:36:45,2020-04-01,249,94,24.16,27405,0,0,0
68,68,2020-04-01 07:39:53,2020-04-01,212,50,70.34,27593,0,0,0
69,69,2020-04-01 07:43:26,2020-04-01,174,82,55.04,27806,0,0,0
70,70,2020-04-01 07:48:51,2020-04-01,38,78,29.12,28131,0,0,0
71,71,2020-04-01 07:58:34,2020-04-01,94,10,74.24,28714,0,0,0
72,72,2020-04-01 08:00:47,2020-04-01,117,67,65.02,28847,0,0,0
73,73,2020-04-01 08:06:51,2020-04-01,112,104,28.69,29211,0,0,0
74,74,2020-04-01 08:08:29,2020-04-01,240,78,21.59,29309,0,0,0
75,75,2020-04-01 08:11:47,2020-04-01,40,31,107.77,29507,0,0,0
76,76,2020-04-01 08:15:05,2020-04-01,107,116,11.62,29705,0,0,0
77,77,2020-04-01 08:18:30,2020-04-01,149,102,23.78,29910,0,0,0
78,78,2020-04-01 08:18:37,2020-04-01,37,54,22.16,29917,0,0,0
79,79,2020-04-01 08:19:35,2020-04-01,134,29,54.06,29975,0,0,0
80,80,2020-04-01 08:26:50,2020-04-01,247,77,9.94,30410,0,0,0
81,81,2020-04-01 08:29:06,2020-04-01,129,110,50.79,30546,0,0,0
82,82,2020-04-01 08:29:16,2020-04-01,45,93,58.7,30556,0,0,0
83,83,2020-04-01 08:29:40,2020-04-01,154,29,33.77,30580,0,0,0
84,84,2020-04-01 08:32:11,2020-04-01,140,28,84.69,30731,0,0,0
85,85,2020-04-01 08:33:01,2020-04-01,50,11,10.95,30781,0,0,0
86,86,2020-04-01 08:34:01,2020-04-01,98,42,7.18,30841,0,0,0
87,87,2020-04-01 08:35:34,2020-04-01,134,29,94.76,30934,0,0,0
88,88,2020-04-01 08:36:33,2020-04-01,213,7,82.21,30993,0,0,0
89,89,2020-04-01 08:37:21,2020-04-01,104,82,23.38,31041,0,0,0
90,90,2020-04-01 08:38:34,2020-04-01,88,102,41.52,31114,0,0,0
91,91,2020-04-01 08:41:57,2020-04-01,198,70,170.62,31317,0,0,0
